"","Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24","Year","EV","HardH%"
"643","Los Angeles Angels",".251",".330",".410",".740",".306","3.0%","23.5%","9.6%","23.8%","44.4%","24.7%","0.81","0.5","-0.9%","-46.7",2021,"87.6","38.2%"
"644","Los Angeles Dodgers",".207",".280",".344",".624",".263","2.7%","26.9%","8.2%","21.6%","43.9%","25.2%","0.81","22.6","15.2%","210.8",2021,"86.3","34.8%"
"645","Miami Marlins",".241",".317",".401",".718",".292","2.7%","22.9%","8.8%","23.5%","44.1%","24.7%","0.81","0.8","0.9%","25.0",2021,"87.4","37.9%"
"646","Milwaukee Brewers",".218",".298",".358",".655",".278","2.8%","27.0%","9.0%","23.2%","44.2%","24.8%","0.82","15.6","10.8%","122.2",2021,"86.8","36.2%"
"647","Minnesota Twins",".255",".320",".449",".769",".292","3.9%","21.7%","8.0%","23.6%","40.7%","27.9%","0.70","-3.0","-1.5%","-85.2",2021,"89.0","42.0%"
"648","New York Mets",".236",".307",".400",".707",".289","3.3%","25.1%","8.2%","24.3%","42.1%","25.6%","0.75","5.6","4.0%","34.3",2021,"87.8","38.7%"
"649","New York Yankees",".231",".299",".389",".688",".286","3.3%","26.2%","8.2%","22.6%","41.9%","26.8%","0.73","9.7","8.4%","93.0",2021,"87.4","36.7%"
"650","Oakland Athletics",".247",".309",".403",".711",".292","3.2%","22.0%","7.2%","24.5%","40.0%","26.6%","0.68","2.7","2.1%","48.6",2021,"88.3","38.2%"
"651","Philadelphia Phillies",".244",".316",".414",".730",".298","3.3%","24.4%","8.4%","22.4%","45.3%","23.8%","0.85","-0.8","0.8%","-16.8",2021,"87.0","37.0%"
"652","Pittsburgh Pirates",".260",".341",".446",".787",".304","3.5%","21.4%","9.9%","24.4%","40.8%","26.6%","0.70","-9.8","-0.1%","-116.0",2021,"88.1","38.4%"
"653","San Diego Padres",".237",".312",".410",".722",".290","3.4%","25.1%","8.5%","22.8%","42.7%","26.7%","0.77","2.1","3.1%","10.9",2021,"88.1","39.2%"
"654","Seattle Mariners",".247",".314",".417",".730",".289","3.2%","21.8%","7.9%","23.8%","40.7%","27.3%","0.70","7.7","1.9%","-1.5",2021,"89.0","39.8%"
"655","San Francisco Giants",".230",".291",".368",".658",".282","2.5%","23.7%","6.9%","23.3%","45.1%","24.1%","0.85","18.3","13.4%","158.2",2021,"87.7","38.9%"
"656","St. Louis Cardinals",".234",".320",".374",".695",".274","2.5%","20.3%","10.1%","23.9%","43.8%","24.7%","0.80","8.6","4.5%","40.5",2021,"87.9","37.7%"
"657","Tampa Bay Rays",".232",".294",".386",".680",".282","3.1%","24.6%","7.3%","24.0%","41.4%","26.1%","0.72","11.8","8.5%","102.1",2021,"87.9","37.4%"
"658","Texas Rangers",".256",".325",".436",".761",".290","3.8%","20.3%","8.4%","24.3%","42.2%","25.8%","0.74","-3.9","0.0%","-60.6",2021,"88.6","39.3%"
"659","Toronto Blue Jays",".236",".305",".407",".712",".284","3.5%","24.8%","8.0%","23.2%","43.0%","25.6%","0.76","6.9","3.2%","92.5",2021,"88.6","39.5%"
"660","Washington Nationals",".254",".329",".447",".776",".293","4.1%","22.2%","9.0%","23.0%","40.6%","27.5%","0.71","-14.0","-2.2%","-119.8",2021,"87.9","39.8%"
"661","Arizona Diamondbacks",".247",".315",".414",".729",".283","3.2%","20.1%","8.3%","24.5%","39.6%","28.3%","0.67","-4.8","-1.3%","-32.9",2022,"88.1","38.6%"
"662","Atlanta Braves",".226",".297",".354",".651",".286","2.5%","25.8%","8.3%","23.7%","43.3%","25.2%","0.78","14.3","10.1%","126.7",2022,"87.7","37.2%"
"663","Baltimore Orioles",".256",".317",".407",".724",".297","2.8%","20.0%","7.3%","24.5%","42.9%","25.1%","0.76","3.7","1.1%","2.1",2022,"88.4","39.1%"
"664","Boston Red Sox",".256",".326",".419",".745",".304","3.0%","21.8%","8.5%","24.3%","42.7%","24.6%","0.75","0.2","0.2%","-70.7",2022,"88.8","40.5%"
"665","Chicago Cubs",".244",".318",".414",".731",".287","3.4%","22.4%","8.8%","23.7%","43.2%","25.6%","0.77","5.5","-0.3%","6.3",2022,"87.9","38.3%"
"666","Chicago White Sox",".242",".312",".387",".699",".296","2.7%","23.6%","8.7%","23.8%","41.3%","26.9%","0.71","2.2","0.2%","-9.6",2022,"88.2","38.1%"
"667","Cincinnati Reds",".251",".336",".429",".766",".299","3.4%","22.7%","9.8%","23.4%","40.6%","27.1%","0.69","-5.2","-1.3%","-82.9",2022,"88.3","38.9%"
"668","Cleveland Guardians",".230",".292",".373",".665",".275","2.9%","23.2%","7.3%","24.0%","42.2%","25.7%","0.74","10.3","4.1%","69.7",2022,"88.5","39.8%"
"669","Colorado Rockies",".272",".340",".446",".786",".313","3.0%","19.0%","8.6%","25.2%","43.9%","25.0%","0.79","-6.2","-2.0%","-124.5",2022,"89.1","42.1%"
"670","Detroit Tigers",".247",".316",".393",".709",".285","2.8%","19.8%","8.5%","23.5%","41.4%","27.1%","0.72","-4.4","-1.0%","-39.7",2022,"88.9","40.3%"
"671","Houston Astros",".212",".281",".332",".613",".269","2.3%","26.0%","7.8%","22.9%","42.3%","25.9%","0.74","19.9","6.8%","171.6",2022,"87.9","37.2%"
"672","Kansas City Royals",".271",".346",".425",".770",".314","2.8%","19.1%","9.4%","25.4%","43.4%","24.2%","0.78","-7.6","-0.9%","-121.8",2022,"88.8","41.4%"
"673","Los Angeles Angels",".230",".306",".379",".684",".277","2.8%","22.9%","8.9%","23.6%","42.0%","26.4%","0.74","3.5","-1.4%","33.0",2022,"88.0","37.2%"
"674","Los Angeles Dodgers",".209",".273",".344",".617",".256","2.6%","25.0%","6.9%","21.8%","42.2%","26.4%","0.75","17.9","6.1%","219.6",2022,"86.8","34.5%"
"675","Miami Marlins",".242",".314",".406",".720",".296","2.9%","23.7%","8.4%","23.7%","44.7%","24.2%","0.82","0.8","-0.1%","39.3",2022,"87.7","37.1%"
"676","Milwaukee Brewers",".229",".302",".388",".691",".281","3.1%","25.3%","8.6%","22.3%","43.7%","26.2%","0.79","4.4","3.2%","41.0",2022,"87.2","36.5%"
"677","Minnesota Twins",".242",".307",".400",".707",".286","3.1%","22.1%","7.8%","24.2%","39.8%","27.8%","0.67","1.3","-0.1%","10.3",2022,"88.3","38.6%"
"678","New York Mets",".236",".299",".377",".675",".299","2.8%","26.3%","7.2%","23.0%","43.4%","25.2%","0.78","12.9","6.8%","95.1",2022,"87.7","38.1%"
"679","New York Yankees",".219",".285",".355",".640",".269","2.6%","24.6%","7.5%","22.9%","44.1%","24.3%","0.80","13.4","8.2%","142.5",2022,"87.5","36.5%"
"680","Oakland Athletics",".254",".323",".428",".750",".290","3.2%","19.7%","8.2%","22.9%","41.3%","27.4%","0.71","-8.9","-0.8%","-108.0",2022,"88.4","39.4%"
"681","Philadelphia Phillies",".245",".310",".391",".701",".303","2.5%","23.7%","7.7%","24.2%","44.1%","24.7%","0.80","2.1","1.3%","21.3",2022,"87.4","35.6%"
"682","Pittsburgh Pirates",".259",".337",".411",".748",".305","2.6%","20.0%","9.4%","24.4%","43.9%","23.8%","0.79","-7.7","-1.0%","-112.0",2022,"88.3","39.9%"
"683","San Diego Padres",".232",".301",".377",".679",".283","2.9%","24.0%","7.7%","23.4%","41.3%","27.4%","0.71","9.7","5.2%","40.7",2022,"88.1","38.4%"
"684","Seattle Mariners",".235",".298",".389",".688",".281","3.1%","23.2%","7.5%","23.5%","39.5%","28.3%","0.66","7.9","4.2%","58.2",2022,"87.9","37.8%"
"685","San Francisco Giants",".253",".313",".390",".702",".312","2.2%","22.6%","7.3%","23.3%","47.5%","22.5%","0.93","1.4","-0.2%","8.1",2022,"87.8","39.0%"
"686","St. Louis Cardinals",".247",".314",".382",".696",".288","2.4%","19.6%","8.1%","23.6%","47.5%","22.8%","0.91","10.4","5.0%","72.4",2022,"88.0","38.0%"
"687","Tampa Bay Rays",".232",".289",".379",".669",".279","2.9%","23.3%","6.5%","22.6%","42.4%","25.6%","0.75","9.8","6.8%","69.4",2022,"87.4","36.2%"
"688","Texas Rangers",".247",".325",".397",".722",".293","2.7%","21.3%","9.4%","23.8%","45.2%","23.9%","0.84","-9.0","-2.3%","-48.5",2022,"88.2","38.4%"
"689","Toronto Blue Jays",".247",".308",".399",".707",".297","3.0%","23.0%","7.0%","25.0%","41.4%","25.5%","0.72","3.8","2.4%","12.1",2022,"88.6","39.6%"
"690","Washington Nationals",".266",".339",".452",".791",".298","3.9%","19.6%","9.0%","22.8%","41.4%","28.0%","0.72","-15.6","-1.8%","-170.6",2022,"88.7","41.1%"
"691","Arizona Diamondbacks",".251",".320",".429",".749",".297","3.2%","22.2%","8.6%","24.3%","41.5%","26.8%","0.72","0.0","0.3%","4.1",2023,"89.3","41.5%"
"692","Atlanta Braves",".245",".318",".398",".716",".303","3.1%","24.7%","8.7%","25.0%","42.1%","25.2%","0.74","3.6","3.6%","53.0",2023,"88.6","38.9%"
"693","Baltimore Orioles",".242",".307",".395",".702",".294","2.9%","23.5%","7.8%","24.6%","43.7%","25.5%","0.79","9.6","6.1%","63.4",2023,"88.8","40.8%"
"694","Boston Red Sox",".256",".325",".433",".758",".307","3.4%","23.1%","8.1%","22.8%","43.6%","25.6%","0.78","0.0","-0.8%","-15.9",2023,"88.6","40.1%"
"695","Chicago Cubs",".244",".314",".399",".713",".292","2.9%","22.6%","8.4%","24.6%","43.9%","23.2%","0.80","1.8","-0.3%","31.0",2023,"87.8","38.1%"
"696","Chicago White Sox",".249",".337",".424",".760",".300","3.4%","23.3%","10.4%","24.6%","39.8%","27.7%","0.67","-6.0","-1.2%","-89.2",2023,"88.8","39.7%"
"697","Cincinnati Reds",".257",".337",".443",".780",".302","3.5%","21.9%","9.7%","24.7%","38.4%","28.0%","0.63","2.9","0.7%","-33.9",2023,"88.6","39.3%"
"698","Cleveland Guardians",".246",".316",".400",".716",".291","2.8%","21.3%","8.7%","24.8%","40.5%","26.9%","0.69","1.8","0.8%","56.5",2023,"89.0","40.3%"
"699","Colorado Rockies",".288",".361",".486",".847",".321","3.7%","17.9%","9.3%","25.1%","40.9%","27.0%","0.70","-15.4","-1.9%","-165.9",2023,"89.0","41.3%"
"700","Detroit Tigers",".240",".305",".399",".703",".286","3.1%","22.6%","7.8%","24.1%","42.3%","25.9%","0.74","7.1","0.8%","14.9",2023,"88.8","39.9%"
"701","Houston Astros",".241",".316",".408",".724",".291","3.3%","23.9%","8.8%","23.6%","41.6%","27.3%","0.72","5.8","7.8%","53.2",2023,"89.1","40.4%"
"702","Kansas City Royals",".262",".336",".442",".778",".304","3.4%","20.7%","9.0%","24.2%","41.2%","26.9%","0.71","-13.7","-1.3%","-119.8",2023,"88.7","39.5%"
"703","Los Angeles Angels",".252",".337",".422",".759",".303","3.3%","22.9%","10.1%","23.9%","40.1%","28.0%","0.68","-5.0","-1.0%","-75.0",2023,"88.1","38.1%"
"704","Los Angeles Dodgers",".236",".301",".400",".701",".279","3.3%","23.1%","7.5%","23.1%","42.0%","26.7%","0.74","7.5","2.5%","75.0",2023,"88.1","37.9%"
"705","Miami Marlins",".246",".317",".413",".730",".302","3.1%","24.5%","8.4%","23.1%","44.3%","25.3%","0.81","10.4","6.7%","66.6",2023,"88.3","38.7%"
"706","Milwaukee Brewers",".226",".297",".385",".681",".269","3.3%","23.8%","8.2%","23.3%","43.2%","26.0%","0.77","16.3","8.8%","122.8",2023,"88.1","38.2%"
"707","Minnesota Twins",".236",".299",".398",".697",".293","3.2%","25.9%","7.4%","23.0%","41.1%","27.9%","0.71","10.7","4.8%","116.0",2023,"88.3","38.8%"
"708","New York Mets",".247",".330",".406",".735",".298","3.1%","22.9%","9.7%","23.2%","41.7%","26.8%","0.73","0.8","-1.2%","7.9",2023,"88.8","40.2%"
"709","New York Yankees",".234",".308",".396",".703",".281","3.2%","23.7%","8.4%","23.0%","43.4%","26.2%","0.78","8.5","3.0%","62.6",2023,"88.2","38.8%"
"710","Oakland Athletics",".266",".355",".453",".807",".308","3.3%","20.4%","10.9%","24.5%","37.5%","28.8%","0.61","-15.4","-2.7%","-203.7",2023,"88.5","39.3%"
"711","Philadelphia Phillies",".240",".304",".397",".701",".291","3.1%","23.9%","7.7%","23.7%","43.7%","24.9%","0.79","6.7","3.7%","55.7",2023,"87.8","37.7%"
"712","Pittsburgh Pirates",".251",".331",".413",".745",".301","2.9%","21.9%","9.6%","24.6%","42.8%","24.7%","0.76","2.3","0.7%","-25.1",2023,"88.4","40.1%"
"713","San Diego Padres",".236",".314",".383",".697",".288","2.9%","23.8%","9.2%","23.6%","44.4%","24.7%","0.81","7.2","1.2%","111.2",2023,"87.5","37.0%"
"714","Seattle Mariners",".237",".297",".392",".689",".288","3.1%","24.3%","7.0%","23.5%","42.9%","26.1%","0.76","8.4","2.3%","71.6",2023,"88.4","39.4%"
"715","San Francisco Giants",".253",".311",".408",".719",".305","2.9%","22.5%","6.7%","22.9%","48.7%","22.4%","0.97","3.5","1.7%","33.6",2023,"88.7","40.0%"
"716","St. Louis Cardinals",".276",".343",".447",".790",".321","2.9%","19.4%","8.5%","24.3%","45.2%","24.5%","0.83","-5.7","-1.7%","-68.2",2023,"89.1","41.0%"
"717","Tampa Bay Rays",".231",".294",".386",".680",".285","3.0%","25.1%","7.3%","23.7%","44.0%","23.9%","0.80","7.3","4.1%","81.2",2023,"88.2","39.0%"
"718","Texas Rangers",".245",".313",".406",".719",".289","3.3%","22.4%","8.2%","22.9%","42.1%","27.4%","0.74","2.1","2.4%","24.3",2023,"88.5","39.3%"
"719","Toronto Blue Jays",".241",".309",".403",".711",".296","3.3%","25.1%","8.0%","24.1%","41.0%","26.9%","0.71","12.9","8.1%","91.7",2023,"88.4","39.9%"
"720","Washington Nationals",".273",".346",".457",".803",".306","3.9%","19.5%","9.4%","24.5%","40.7%","27.4%","0.70","-8.3","-2.1%","-103.4",2023,"88.9","41.3%"
"721","Arizona Diamondbacks",".262",".324",".434",".758",".310","2.9%","21.2%","7.8%","25.4%","42.5%","25.9%","0.75","-3.3","-2.4%","-51.6",2024,"88.9","40.5%"
"722","Atlanta Braves",".236",".301",".372",".672",".301","2.5%","26.0%","7.5%","24.0%","45.1%","24.9%","0.84","13.2","11.5%","133.2",2024,"87.3","36.9%"
"723","Baltimore Orioles",".238",".303",".390",".693",".284","2.9%","22.7%","7.9%","22.6%","42.0%","26.4%","0.74","2.5","1.2%","-5.2",2024,"88.2","38.2%"
"724","Boston Red Sox",".246",".310",".397",".707",".289","3.1%","22.0%","7.5%","23.4%","43.3%","25.2%","0.77","1.6","-1.8%","3.1",2024,"88.0","38.0%"
"725","Chicago Cubs",".239",".305",".386",".692",".284","3.0%","22.4%","8.0%","22.9%","41.0%","27.6%","0.71","2.7","0.1%","45.0",2024,"88.0","38.6%"
"726","Chicago White Sox",".255",".337",".423",".760",".302","3.2%","21.9%","10.3%","23.9%","39.7%","27.9%","0.67","-14.2","-0.7%","-114.5",2024,"88.0","37.0%"
"727","Cincinnati Reds",".239",".311",".404",".715",".283","3.2%","22.6%","8.0%","23.1%","37.9%","28.9%","0.62","6.0","1.1%","50.7",2024,"87.8","37.6%"
"728","Cleveland Guardians",".230",".301",".395",".696",".277","3.0%","23.8%","8.3%","23.6%","41.1%","26.9%","0.71","12.0","8.2%","89.9",2024,"88.9","39.8%"
"729","Colorado Rockies",".285",".354",".468",".823",".319","3.5%","17.7%","8.9%","25.6%","42.6%","25.7%","0.75","-13.3","-2.3%","-173.2",2024,"89.0","40.9%"
"730","Detroit Tigers",".233",".292",".372",".664",".279","2.7%","22.7%","7.0%","23.7%","43.5%","25.2%","0.78","8.7","3.9%","79.5",2024,"88.4","38.0%"
"731","Houston Astros",".231",".307",".381",".687",".282","3.0%","24.6%","9.0%","24.0%","41.8%","26.4%","0.73","8.4","4.6%","50.1",2024,"88.2","37.7%"
"732","Kansas City Royals",".241",".308",".383",".691",".293","2.4%","22.3%","7.9%","23.8%","43.1%","25.3%","0.77","4.4","1.9%","71.9",2024,"88.0","38.3%"
"733","Los Angeles Angels",".246",".328",".415",".743",".282","3.3%","20.4%","9.8%","23.3%","41.7%","27.6%","0.73","-5.6","-1.2%","-85.3",2024,"88.9","40.0%"
"734","Los Angeles Dodgers",".235",".304",".399",".703",".277","3.3%","23.0%","8.3%","23.7%","40.3%","27.6%","0.69","5.5","4.3%","34.2",2024,"88.3","39.3%"
"735","Miami Marlins",".257",".332",".428",".760",".302","3.1%","21.0%","8.9%","23.1%","42.6%","26.8%","0.75","-5.8","-1.1%","-75.7",2024,"88.8","41.1%"
"736","Milwaukee Brewers",".237",".306",".388",".693",".279","3.2%","22.6%","8.1%","23.8%","40.2%","27.1%","0.69","12.6","8.0%","102.6",2024,"88.2","39.8%"
"737","Minnesota Twins",".242",".303",".400",".702",".295","3.1%","24.7%","7.1%","23.4%","39.9%","27.7%","0.67","1.9","1.5%","-7.7",2024,"87.9","37.6%"
"738","New York Mets",".230",".315",".373",".687",".283","2.7%","23.9%","9.6%","22.6%","43.6%","25.6%","0.79","3.7","1.8%","21.7",2024,"87.7","38.3%"
"739","New York Yankees",".233",".309",".391",".700",".283","3.0%","23.8%","8.7%","23.1%","41.5%","27.2%","0.72","8.9","6.3%","58.6",2024,"88.9","40.0%"
"740","Oakland Athletics",".253",".327",".410",".737",".297","2.7%","20.5%","8.6%","23.6%","40.0%","27.0%","0.68","-3.2","-0.7%","-67.6",2024,"88.2","38.8%"
"741","Philadelphia Phillies",".243",".305",".397",".702",".295","3.0%","23.7%","7.3%","24.2%","45.5%","23.3%","0.85","10.3","8.1%","59.9",2024,"87.9","38.2%"
"742","Pittsburgh Pirates",".250",".321",".402",".723",".300","2.7%","22.0%","8.4%","24.4%","41.3%","26.3%","0.72","3.3","1.8%","0.0",2024,"88.6","39.5%"
"743","San Diego Padres",".238",".304",".385",".689",".293","2.8%","24.1%","7.7%","24.1%","40.8%","26.1%","0.70","5.8","3.4%","60.9",2024,"87.8","37.5%"
"744","Seattle Mariners",".220",".276",".374",".649",".263","3.2%","24.4%","6.4%","22.6%","40.5%","28.2%","0.69","7.0","3.1%","69.3",2024,"88.2","38.2%"
"745","San Francisco Giants",".246",".319",".389",".708",".305","2.5%","23.6%","8.6%","21.9%","47.9%","24.1%","0.94","2.0","-0.2%","4.2",2024,"88.5","40.5%"
"746","St. Louis Cardinals",".249",".309",".405",".714",".294","2.9%","21.6%","7.5%","24.3%","44.3%","24.0%","0.81","5.8","1.2%","20.5",2024,"88.2","38.8%"
"747","Tampa Bay Rays",".236",".299",".390",".689",".280","3.3%","23.4%","7.4%","23.6%","38.9%","28.2%","0.64","8.3","0.9%","50.5",2024,"88.6","38.8%"
"748","Texas Rangers",".243",".316",".403",".719",".287","3.2%","22.5%","8.7%","23.8%","41.0%","27.7%","0.71","2.3","1.0%","-40.3",2024,"88.6","40.1%"
"749","Toronto Blue Jays",".243",".314",".411",".724",".282","3.4%","21.7%","8.3%","23.7%","40.4%","27.8%","0.69","-0.2","-0.1%","-42.3",2024,"88.9","40.8%"
"750","Washington Nationals",".258",".319",".406",".725",".308","2.8%","21.5%","7.7%","26.0%","42.1%","24.7%","0.74","-4.3","-1.3%","-50.3",2024,"88.7","40.6%"
